safety_margin,perturbations,probe_steps,estimator_method,L_pred,L_actual,bound_holds,max_bound_ratio,final_bound_ratio,predicted_dangerous,actual_dangerous,false_negative,false_positive,runtime_seconds
1.03,3,15,rewritten_state_L,0.9810299408185025,0.9938105561960218,False,10.456871460799194,3.6486675354324936,False,True,True,False,0.015374099999462487
1.03,3,15,max_clean_rewritten_L,0.9852016562490767,0.9938105561960218,False,7.769638117374358,2.3869712093488515,False,True,True,False,0.031217499999911524
1.03,3,15,longer_horizon_L,0.9911364189245376,0.9938105561960218,False,5.102931181534235,1.3092333713603572,False,True,True,False,0.03151849999994738
1.08,3,15,clean_state_L,1.033026979367964,0.9938105561960218,True,0.9999999068677404,0.02085422728904416,True,True,False,False,0.015843400000449037
1.08,3,15,rewritten_state_L,1.0286527534795948,0.9938105561960218,True,0.9999999068677404,0.0318772768553096,True,True,False,False,0.015374099999462487
1.08,3,15,max_clean_rewritten_L,1.033026979367964,0.9938105561960218,True,0.9999999068677404,0.02085422728904416,True,True,False,False,0.031217499999911524
1.08,3,15,longer_horizon_L,1.0392498373189327,0.9938105561960218,True,0.9999999068677404,0.011438365990262036,True,True,False,False,0.03151849999994738
1.15,3,15,clean_state_L,1.099982431734406,0.9938105561960218,True,0.9999999068677404,3.9064800964358e-05,True,True,False,False,0.015843400000449037
1.15,3,15,rewritten_state_L,1.095324691205124,0.9938105561960218,True,0.9999999068677404,5.971352754425068e-05,True,True,False,False,0.015374099999462487
1.15,3,15,max_clean_rewritten_L,1.099982431734406,0.9938105561960218,True,0.9999999068677404,3.9064800964358e-05,True,True,False,False,0.031217499999911524
1.15,3,15,longer_horizon_L,1.1066086230710857,0.9938105561960218,True,0.9999999068677404,2.1426710497291525e-05,True,True,False,False,0.03151849999994738
1.25,3,15,clean_state_L,1.1956330779721804,0.9938105561960218,True,0.9999999068677404,9.344764271786596e-09,True,True,False,False,0.015843400000449037
1.25,3,15,rewritten_state_L,1.1905703165273087,0.9938105561960218,True,0.9999999068677404,1.4284184866242462e-08,True,True,False,False,0.015374099999462487
1.25,3,15,max_clean_rewritten_L,1.1956330779721804,0.9938105561960218,True,0.9999999068677404,9.344764271786596e-09,True,True,False,False,0.031217499999911524
1.25,3,15,longer_horizon_L,1.2028354598598758,0.9938105561960218,True,0.9999999068677404,5.125523585789839e-09,True,True,False,False,0.03151849999994738
1.5,3,15,clean_state_L,1.4347596935666167,0.9938105561960218,True,0.9999999068677404,1.1283497725849915e-16,True,True,False,False,0.015843400000449037
1.5,3,15,rewritten_state_L,1.4286843798327706,0.9938105561960218,True,0.9999999068677404,1.7247686807946775e-16,True,True,False,False,0.015374099999462487
1.5,3,15,max_clean_rewritten_L,1.4347596935666167,0.9938105561960218,True,0.9999999068677404,1.1283497725849915e-16,True,True,False,False,0.031217499999911524
1.5,3,15,longer_horizon_L,1.443402551831851,0.9938105561960218,True,0.9999999068677404,6.188902367356742e-17,True,True,False,False,0.03151849999994738
1.0,3,25,clean_state_L,0.9617494445488154,0.9938105561960218,False,46.06570409999125,26.556209885109407,False,True,True,False,0.02744189999975788
1.0,3,25,rewritten_state_L,0.9721349418712508,0.9938105561960218,False,19.87057314299998,9.072044319691724,False,True,True,False,0.026178199999776552
1.0,3,25,max_clean_rewritten_L,0.9721349418712508,0.9938105561960218,False,19.87057314299998,9.072044319691724,False,True,True,False,0.05362009999953443
1.0,3,25,longer_horizon_L,0.9833324659352783,0.9938105561960218,False,8.874290651651307,2.8861752040074253,False,True,True,False,0.04979269999967073
1.03,3,25,clean_state_L,0.9906019278852799,0.9938105561960218,False,5.299297486075531,1.3817950159804306,False,True,True,False,0.02744189999975788
1.03,3,25,rewritten_state_L,1.0012989901273883,0.9938105561960218,False,2.498593752380702,0.4720442292005201,True,True,False,False,0.026178199999776552
1.03,3,25,max_clean_rewritten_L,1.0012989901273883,0.9938105561960218,False,2.498593752380702,0.4720442292005201,True,True,False,False,0.05362009999953443
1.03,3,25,longer_horizon_L,1.0128324399133368,0.9938105561960218,False,1.126133006232602,0.15017589216976102,True,True,False,False,0.04979269999967073
1.08,3,25,clean_state_L,1.0386894001127207,0.9938105561960218,True,0.9999999068677404,0.01207231457893678,True,True,False,False,0.02744189999975788
1.08,3,25,rewritten_state_L,1.049905737220951,0.9938105561960218,True,0.9999999068677404,0.0041241040560831225,True,True,False,False,0.026178199999776552
1.08,3,25,max_clean_rewritten_L,1.049905737220951,0.9938105561960218,True,0.9999999068677404,0.0041241040560831225,True,True,False,False,0.05362009999953443
1.08,3,25,longer_horizon_L,1.0619990632101006,0.9938105561960218,True,0.9999999068677404,0.0013120402024026018,True,True,False,False,0.04979269999967073
1.15,3,25,clean_state_L,1.1060118612311376,0.9938105561960218,True,0.9999999068677404,2.2614243130122674e-05,True,True,False,False,0.02744189999975788
1.15,3,25,rewritten_state_L,1.1179551831519383,0.9938105561960218,True,0.9999999068677404,7.725402714481237e-06,True,True,False,False,0.026178199999776552
1.15,3,25,max_clean_rewritten_L,1.1179551831519383,0.9938105561960218,True,0.9999999068677404,7.725402714481237e-06,True,True,False,False,0.05362009999953443
1.15,3,25,longer_horizon_L,1.13083233582557,0.9938105561960218,True,0.9999999068677404,2.457755382335347e-06,True,True,False,False,0.04979269999967073
1.25,3,25,clean_state_L,1.2021868056860192,0.9938105561960218,True,0.9999999068677404,5.4095954931057435e-09,True,True,False,False,0.02744189999975788
1.25,3,25,rewritten_state_L,1.2151686773390635,0.9938105561960218,True,0.9999999068677404,1.8480080658112949e-09,True,True,False,False,0.026178199999776552
1.25,3,25,max_clean_rewritten_L,1.2151686773390635,0.9938105561960218,True,0.9999999068677404,1.8480080658112949e-09,True,True,False,False,0.05362009999953443
1.25,3,25,longer_horizon_L,1.229165582419098,0.9938105561960218,True,0.9999999068677404,5.879242724567662e-10,True,True,False,False,0.04979269999967073
1.5,3,25,clean_state_L,1.4426241668232231,0.9938105561960218,True,0.9999999068677404,6.531909919709205e-17,True,True,False,False,0.02744189999975788
1.5,3,25,rewritten_state_L,1.4582024128068762,0.9938105561960218,True,0.9999999068677404,2.2314093969058158e-17,True,True,False,False,0.026178199999776552
