model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,A_fixed_clean,1.7076084613800049,5.2181094825454,5.2181094825454,1.59944486618042,3.560349225997925,3.262450361922503,1.4656173176615348,False,False,False,0.13421050000033574
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,B_fixed_rewritten,1.7076084613800049,7507444382.558774,7507444382.558774,1.59944486618042,3.560349225997925,4693781287.058083,2108625841.459281,False,False,False,0.13421050000033574
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,C_fixed_max,1.7076084613800049,7507444382.558774,7507444382.558774,1.59944486618042,3.560349225997925,4693781287.058083,2108625841.459281,False,False,False,0.13421050000033574
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,D_stepwise_product,1.7076084613800049,3.7346993456151263,3.7346993456151263,1.59944486618042,3.560349225997925,2.3349972384692665,1.0489699488870599,False,False,False,0.5497512833336866
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,E_empirical_envelope,1.7076084613800049,0.7671229459899298,1.7076084613800049,1.59944486618042,3.560349225997925,0.47961824893775185,0.47961824893775185,False,False,False,0.13421050000033574
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,scheduler_mismatch,A_fixed_clean,0.008968967013061047,0.02740736701531008,0.02740736701531008,0.05397976189851761,0.0774640366435051,0.5077341220369989,0.35380762742123417,False,False,True,0.13388149999991583
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,scheduler_mismatch,B_fixed_rewritten,0.008968967013061047,0.018338649706249266,0.018338649706249266,0.05397976189851761,0.0774640366435051,0.33973194881307694,0.23673759464207902,False,False,True,0.13388149999991583
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,scheduler_mismatch,C_fixed_max,0.008968967013061047,0.02740736701531008,0.02740736701531008,0.05397976189851761,0.0774640366435051,0.5077341220369989,0.35380762742123417,False,False,True,0.13388149999991583
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,scheduler_mismatch,D_stepwise_product,0.008968967013061047,0.019615969346657255,0.019615969346657255,0.05397976189851761,0.0774640366435051,0.36339488461500513,0.25322679009010746,False,False,True,0.5494222833332667
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,scheduler_mismatch,E_empirical_envelope,0.008968967013061047,0.056423874350911916,0.08097147739378227,0.05397976189851761,0.0774640366435051,1.0452783111009134,1.0452783111009134,True,False,False,0.13388149999991583
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_shadow_present_not_loaded,A_fixed_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13418889999957173
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_shadow_present_not_loaded,B_fixed_rewritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13418889999957173
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_shadow_present_not_loaded,C_fixed_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13418889999957173
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_shadow_present_not_loaded,D_stepwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5497296833329226
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_shadow_present_not_loaded,E_empirical_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.13418889999957173
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,A_fixed_clean,1.3281701803207397,4.0586220841074825,4.0586220841074825,0.28577202558517456,1.3281701803207397,14.20230715654079,3.0557997342835734,True,False,False,0.13374130000011064
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,B_fixed_rewritten,1.3281701803207397,3.9875708133326366,3.9875708133326366,0.28577202558517456,1.3281701803207397,13.95367795419198,3.0023041266968353,True,False,False,0.13374130000011064
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,C_fixed_max,1.3281701803207397,4.0586220841074825,4.0586220841074825,0.28577202558517456,1.3281701803207397,14.20230715654079,3.0557997342835734,True,False,False,0.13374130000011064
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,D_stepwise_product,1.3281701803207397,2.9048323520842194,2.9048323520842194,0.28577202558517456,1.3281701803207397,10.164859020528697,2.187093487810976,True,False,False,0.5492820833334615
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,E_empirical_envelope,1.3281701803207397,0.28577202558517456,1.3281701803207397,0.28577202558517456,1.3281701803207397,1.0,1.0,True,False,False,0.13374130000011064
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,A_fixed_clean,0.008968966081738472,0.027407364169374806,0.027407364169374806,0.1059509813785553,0.10624025762081146,0.25867966311185214,0.25797531729635004,False,False,True,0.13455750000139233
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,B_fixed_rewritten,0.008968966081738472,0.02471665323607738,0.02471665323607738,0.1059509813785553,0.10624025762081146,0.233283853669713,0.23264865682362224,False,False,True,0.13455750000139233
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,C_fixed_max,0.008968966081738472,0.027407364169374806,0.027407364169374806,0.1059509813785553,0.10624025762081146,0.25867966311185214,0.25797531729635004,False,False,True,0.13455750000139233
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,D_stepwise_product,0.008968966081738472,0.019615967309767716,0.019615967309767716,0.1059509813785553,0.10624025762081146,0.18514191236871383,0.18463779878791572,False,False,True,0.5500982833347432
