model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,adam_denom_sensitive,3,15,1.519373427253091,512.1792237207866,True,False,0.017824800001108088
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,adam_denom_sensitive,5,15,1.5240103738603694,521.7291919066611,True,False,0.02924899999925401
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,adam_denom_sensitive,10,15,1.5273956082586562,521.7291919066611,True,False,0.058840700001383084
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,adam_denom_sensitive,20,15,1.526085234705561,521.7291919066611,True,False,0.11966840000059165
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,adam_denom_sensitive,50,15,1.5268432950470312,545.4135078884116,True,False,0.3131544000007125
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,schedule_time,1,15,1.5449604782387405,526.7676844155169,True,False,0.005929400000241003
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,schedule_time,3,15,1.5584147391448675,649.207298019033,True,False,0.017801899999540183
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,schedule_time,5,15,1.5541046841704904,649.207298019033,True,False,0.02948169999945094
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,schedule_time,10,15,1.5519086299049465,649.207298019033,True,False,0.05947130000095058
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,schedule_time,20,15,1.5531277654134368,653.2875613499666,True,False,0.118222600000081
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,schedule_time,50,15,1.5524263970493013,660.9521973210651,True,False,0.29797060000055353
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,random,1,15,1.2534610046810204,3.0362625820529145,True,True,0.005769200000941055
