row_id,rewrite_family,training_seed,checkpoint_step,parameter_label,T_tau,normalized_max_parameter_divergence,task_damaged,task_recovery_step,max_validation_loss_gap,final_validation_loss_gap,max_perplexity_gap,final_perplexity_gap
gpu_seed1103_ckpt150_stale_v,stale_v,1103,150,dangerous,1,3.817948908754596,False,0,0.015167872111002456,0.00461888313293457,0.3882521167054023,0.09330728965751334
gpu_seed1103_ckpt150_stale_mv,stale_mv,1103,150,benign,,0.0105918727479587,True,,0.2613268693288169,0.2117608388264971,6.971847378963819,4.753519930657028
gpu_seed1103_ckpt150_model_current_optimizer_stale,model_current_optimizer_stale,1103,150,benign,,0.0099276676742482,True,,0.2603542009989419,0.1562422911326089,6.949129994694935,3.408341258755975
gpu_seed1103_ckpt150_step_counter_mismatch,step_counter_mismatch,1103,150,benign,,0.0010392966837109723,False,0,0.07301831245422363,0.021381696065267075,1.9376476251762078,0.42636611789674106
gpu_seed1103_ckpt150_scheduler_mismatch,scheduler_mismatch,1103,150,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1103_ckpt150_optimizer_reset,optimizer_reset,1103,150,dangerous,16,0.11257042461876053,True,,11.935049136479696,4.749815146128336,3355188.7286643153,2308.975434483496
gpu_seed1103_ckpt300_exact_restore,exact_restore,1103,300,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1103_ckpt300_benign_nonzero,benign_nonzero,1103,300,benign,,5.883516839104482e-06,False,0,1.5099843344579256e-06,1.1126200361033511e-06,1.9983970162229525e-05,1.4569701768607501e-05
gpu_seed1103_ckpt300_reset_m,reset_m,1103,300,benign,,0.0009402501024115354,False,0,0.027867237726847183,0.007548650105793975,0.38922206860458175,0.09847697559846047
gpu_seed1103_ckpt300_reset_v,reset_v,1103,300,dangerous,1,24.685353798371857,True,,7959.604056358337,1548.5913075606027,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1103_ckpt300_stale_m,stale_m,1103,300,benign,,0.0014141249547796754,False,0,0.032987991968790986,0.01633167266845703,0.42490699298167023,0.21561819950197147
gpu_seed1103_ckpt300_stale_v,stale_v,1103,300,benign,,5.151454325707302e-05,False,0,0.0005084673563637843,0.00032464663187692366,0.006607691673181648,0.004251918619884165
gpu_seed1103_ckpt300_stale_mv,stale_mv,1103,300,benign,,0.0014154649360602026,False,0,0.03308892250061035,0.01649928092956543,0.42622867212565296,0.217849346148272
gpu_seed1103_ckpt300_model_current_optimizer_stale,model_current_optimizer_stale,1103,300,benign,,0.002756681329767725,False,0,0.04003874460856105,0.018755515416463364,0.5436401185565636,0.24792003321911515
gpu_seed1103_ckpt300_step_counter_mismatch,step_counter_mismatch,1103,300,benign,,7.976207361594106e-05,False,0,0.0029689470926919093,0.002769311269124497,0.03862990081401385,0.0363142270123209
gpu_seed1103_ckpt300_scheduler_mismatch,scheduler_mismatch,1103,300,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1103_ckpt300_optimizer_reset,optimizer_reset,1103,300,dangerous,16,0.11359127024176795,True,,19.782187461853027,4.274718205134073,5885024106.250508,927.9060316675211
