cohort,seed,checkpoint_age,rewrite_family,kappa_t,eps_c,tolerance,first_step_S1,representable,empty_state,coordinate_count,fraction_R_gt_1_plus_tol,max_R,q95_R,q99_R,q999_R,v_zero_m_nonzero
width448,1202,150,reset_v,52.857142857141646,1e-30,1e-05,61782.5933923321,True,False,19484864,0.9990803117743086,4.517087100805895e+28,1.1897776669205544e+24,6.560879101259229e+24,3.991160606217891e+25,19466944
width448,1202,150,stale_m,52.857142857141646,1e-30,1e-05,1.417858125360737,True,False,19484864,0.0,0.5976724028587341,0.0027168388478457928,0.010467110201716423,0.03359096497297287,0
width448,1202,150,stale_v,52.857142857141646,1e-30,1e-05,966.1901579289153,True,False,19484864,2.4172609056958264e-05,1.278012677208757e+23,0.0020306904334574938,0.008292912505567074,0.033356230705976486,448
width448,1202,150,stale_mv,52.857142857141646,1e-30,1e-05,1.444757784673073,True,False,19484864,0.0,0.8100022673606873,0.002785996301099658,0.011189364828169346,0.03767634183168411,0
width448,1202,150,optimizer_reset,52.857142857141646,1e-30,1e-05,14.446457580722983,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1202,150,reset_mv_preserve_counter,52.857142857141646,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1202,300,exact_restore,52.8571428571428,1e-30,1e-05,0.0,True,False,19484864,0.0,0.22548462450504303,0.0007591320318169892,0.0026585699524730444,0.008197094313800335,0
width448,1202,300,reset_m,52.8571428571428,1e-30,1e-05,0.9404200358705852,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1202,300,reset_v,52.8571428571428,1e-30,1e-05,39502.861115138185,True,False,19484864,0.938813635034866,2.7132158287935266e+28,4.861927270714334e+23,2.8853800443217847e+24,1.9256860509822617e+25,19468288
width448,1202,300,stale_m,52.8571428571428,1e-30,1e-05,1.2336155022164252,True,False,19484864,0.0,0.0763954296708107,0.0005565865430980921,0.001985074719414115,0.0061459774151444435,0
width448,1202,300,stale_v,52.8571428571428,1e-30,1e-05,10.594668306959164,True,False,19484864,9.69983675533994e-06,283425.90625,0.0007514198077842593,0.0026673893444240093,0.008484704419970512,0
width448,1202,300,stale_mv,52.8571428571428,1e-30,1e-05,1.2336415221265247,True,False,19484864,0.0,0.09485502541065216,0.0005508864996954799,0.00198643421754241,0.006260397378355265,0
width448,1202,300,optimizer_reset,52.8571428571428,1e-30,1e-05,16.772920972359103,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1202,300,reset_mv_preserve_counter,52.8571428571428,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1203,75,exact_restore,52.85713505761189,1e-30,1e-05,0.0,True,False,19484864,0.0,0.7146720886230469,0.006774385459721088,0.02564854547381401,0.08012143522500992,0
width448,1203,75,reset_m,52.85713505761189,1e-30,1e-05,0.9857120943426609,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1203,75,reset_v,52.85713505761189,1e-30,1e-05,213587.10128945936,True,False,19484864,0.9987813104571835,8.708107074122496e+28,3.3436894008330985e+24,1.552688965878739e+25,8.025857373124143e+25,19461118
width448,1203,75,stale_m,52.85713505761189,1e-30,1e-05,1.8053377769164936,True,False,19484864,0.0,0.4737595021724701,0.018709037452936172,0.04859338700771332,0.11077096313238144,0
width448,1203,75,stale_v,52.85713505761189,1e-30,1e-05,2516.9988760801416,True,False,19484864,0.00026410243356073717,1.273980136088011e+24,0.00988007802516222,0.053896281868219376,0.32693809270858765,896
width448,1203,75,stale_mv,52.85713505761189,1e-30,1e-05,1.9934931648635175,True,False,19484864,0.0,0.5070064067840576,0.023931609466671944,0.0668053850531578,0.1548701673746109,0
width448,1203,75,optimizer_reset,52.85713505761189,1e-30,1e-05,11.195889785686305,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1203,75,reset_mv_preserve_counter,52.85713505761189,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1203,150,exact_restore,52.857142857141646,1e-30,1e-05,0.0,True,False,19484864,0.0,0.6341313719749451,0.0010882342467084527,0.004513995256274939,0.0149990851059556,0
width448,1203,150,reset_m,52.857142857141646,1e-30,1e-05,0.9095633358856734,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1203,150,reset_v,52.857142857141646,1e-30,1e-05,54167.589081902064,True,False,19484864,0.9991721266312149,1.7964971786902053e+28,4.834938459155398e+23,2.6252230185768735e+24,1.678339309013263e+25,19468735
width448,1203,150,stale_m,52.857142857141646,1e-30,1e-05,1.5133274489896849,True,False,19484864,0.0,0.5331992506980896,0.002017701044678688,0.008559513837099075,0.0306362584233284,0
width448,1203,150,stale_v,52.857142857141646,1e-30,1e-05,668.7058617550784,True,False,19484864,4.911504642783239e-05,2.6266625581689654e+22,0.001116251340135932,0.004919826984405518,0.018828006461262703,896
width448,1203,150,stale_mv,52.857142857141646,1e-30,1e-05,1.5500832521451466,True,False,19484864,0.0,0.6557431817054749,0.0020700937602669,0.009261826053261757,0.0357641763985157,0
width448,1203,150,optimizer_reset,52.857142857141646,1e-30,1e-05,17.57926660309671,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1203,150,reset_mv_preserve_counter,52.857142857141646,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1203,300,exact_restore,52.8571428571428,1e-30,1e-05,0.0,True,False,19484864,0.0,0.16841639578342438,0.0006315753562375903,0.002402261830866337,0.007352735381573439,0
width448,1203,300,reset_m,52.8571428571428,1e-30,1e-05,0.8999132971440581,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
